index,gaussian quadrature,trapezium points
1,0.0017373956605695184,0.078125
2,0.009149708070111728,0.15625
3,0.022466571308139116,0.234375
4,0.04165936528843517,0.3125
5,0.06668293052522234,0.390625
6,0.09747800086986569,0.46875
7,0.13397156285399303,0.546875
8,0.17607706967015124,0.625
9,0.22369465730374305,0.703125
10,0.2767113850122147,0.78125
11,0.33500150461476785,0.859375
12,0.3984267593685491,0.9375
13,0.46683671219300615,1.015625
14,0.5400691026416466,1.09375
15,0.61795023184867,1.171875
16,0.7002953745709728,1.25
17,0.7869092173644168,1.328125
18,0.8775863218633568,1.40625
19,0.9721116120690168,1.484375
20,1.070260884493415,1.5625
21,1.1718013399502636,1.640625
22,1.2764921357323675,1.71875
23,1.3840849568663398,1.796875
24,1.494324605090021,1.875
25,1.6069496041558295,1.953125
26,1.7216928200244723,2.03125
27,1.8382820944780813,2.109375
28,1.9564408906499822,2.1875
29,2.075888948940018,2.265625
30,2.1963429517596986,2.34375
31,2.3175171955305025,2.421875
32,2.439124268341439,2.5
33,2.560875731658561,2.578125
34,2.6824828044694975,2.65625
35,2.8036570482403014,2.734375
36,2.924111051059982,2.8125
37,3.043559109350018,2.890625
38,3.1617179055219187,2.96875
39,3.2783071799755277,3.046875
40,3.3930503958441705,3.125
41,3.505675394909979,3.203125
42,3.6159150431336604,3.28125
43,3.7235078642676323,3.359375
44,3.828198660049736,3.4375
45,3.9297391155065853,3.515625
46,4.027888387930983,3.59375
47,4.122413678136644,3.671875
48,4.213090782635583,3.75
49,4.299704625429027,3.828125
50,4.3820497681513295,3.90625
51,4.459930897358353,3.984375
52,4.533163287806994,4.0625
53,4.601573240631451,4.140625
54,4.664998495385232,4.21875
55,4.723288614987785,4.296875
56,4.776305342696257,4.375
57,4.823922930329848,4.453125
58,4.8660284371460065,4.53125
59,4.902521999130134,4.609375
60,4.933317069474778,4.6875
61,4.958340634711565,4.765625
62,4.977533428691861,4.84375
63,4.990850291929888,4.921875
64,4.9982626043394305,5.0
